Description,Co-ordinates
Drinking Fountain - Wooden Slat Supports,"(-37.7934187605767, 144.947688456934)"
Drinking Fountain - Treated Timber Drinking Fountain - Peppercorn Park,"(-37.7925641627077, 144.922630804458)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8160100060486, 144.972702422397)"
Drinking Fountain - Drinking Fountain - Monument Style Type 3,"(-37.7856029837435, 144.969313669355)"
Drinking Fountain - Treated Timber Drinking Fountain - Pleasance Gardens,"(-37.7963006586269, 144.945028572935)"
Drinking fountain - Historic or Heritage Drinking Fountains - Fawkner Park,"(-37.8399066292199, 144.981301397895)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.838226617047, 144.984575711778)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.8160140916031, 144.945564128265)"
Drinking Fountain - Treated Timber Drinking Fountain - Ievers Reserve,"(-37.7963447344051, 144.952956259261)"
Drinking Fountain - Treated Timber Drinking Fountain - Kings Domain,"(-37.8282818889709, 144.974217054362)"
Drinking Fountain - Treated Timber Drinking Fountain - Kings Domain,"(-37.8246840036188, 144.972121279645)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Argyle Square,"(-37.8022579080883, 144.96613628041)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.7970152444059, 144.96718715543)"
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Fawkner Park,"(-37.8391230248312, 144.980295973074)"
Drinking Fountain - Treated Timber Drinking Fountain - Hawke & Adderley St Reserve,"(-37.8087950213641, 144.944890535566)"
Drinking fountain - Historic or Heritage Drinking Fountains - Victoria Green,"(-37.82012801999, 144.944845461501)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8164909011536, 144.985157489915)"
Drinking Fountain - Drinking Fountain - Type 2 - St Kilda Road (MELBOURNE),"(-37.8346600379193, 144.974928983582)"
Drinking Fountain - Ornamental Drinking Fountain - Errol St North Melbourne,"(-37.803336444618, 144.949730464028)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.8160258908452, 144.96508163687)"
Drinking Fountain - Drinking Fountain - Type 1,"(-37.797824870902, 144.974677479787)"
Drinking Fountain - Drinking Fountain - Type 2 - Pleasance Gardens,"(-37.7963890175861, 144.94643628596)"
